ID,lat,lon,ФИО,№ части
G001,53.02005,35.74399,Попов Б.Г.,283-я стрелковая дивизия
G002,52.79687,36.07694,Киселёв М.П.,"10-я вдбр, 5-й ВДК"
G003,53.00579,36.64156,Попов М.Ф.,6-я гв. стрелковая дивизия
G004,52.79149,36.67653,Смирнов С.П.,4-я танковая бригада
G005,53.05139,36.05417,Алексеев А.Б.,4-я танковая бригада
G006,52.81497,36.03038,Голубев Г.Е.,42-я стрелковая дивизия
G007,52.95888,35.7576,Волков С.А.,"201-я вдбр, 5-й ВДК"
G008,52.99213,35.75219,Орлов И.Ф.,42-я стрелковая дивизия
G009,52.76614,36.49415,Голубев П.Ф.,42-я стрелковая дивизия
G010,53.02097,35.90931,Морозов В.М.,"201-я вдбр, 5-й ВДК"
G011,53.04286,36.39717,Белов П.С.,283-я стрелковая дивизия
G012,52.99593,36.28918,Зайцев М.К.,283-я стрелковая дивизия
G013,53.21377,35.97175,Киселёв А.С.,"201-я вдбр, 5-й ВДК"
G014,53.10694,35.91145,Воробьёв Ф.К.,6-я гв. стрелковая дивизия
G015,52.96228,36.68831,Виноградов Е.Б.,6-я гв. стрелковая дивизия
G016,52.86575,36.19056,Семёнов П.Н.,4-я танковая бригада
G017,53.09542,35.72086,Комаров С.Е.,"201-я вдбр, 5-й ВДК"
G018,52.80618,35.77538,Петров И.В.,"201-я вдбр, 5-й ВДК"
G019,52.87808,36.62097,Михайлов Б.С.,4-я танковая бригада
G020,53.24997,36.31343,Воробьёв С.Б.,6-я гв. стрелковая дивизия
G021,52.9142,36.18479,Голубев Д.Ф.,"10-я вдбр, 5-й ВДК"
G022,52.8801,36.57129,Орлов Б.П.,137-я стрелковая дивизия
G023,52.85905,36.45014,Попов Д.С.,"201-я вдбр, 5-й ВДК"
G024,53.1126,35.78667,Смирнов Е.К.,"201-я вдбр, 5-й ВДК"
G025,53.09168,36.5226,Петров К.А.,4-я танковая бригада
G026,52.97971,36.09188,Кузнецов Н.К.,"10-я вдбр, 5-й ВДК"
G027,53.16432,36.24054,Козлов Ф.И.,"9-я вдбр, 5-й ВДК"
G028,53.2029,36.10194,Семёнов С.Б.,"9-я вдбр, 5-й ВДК"
G029,52.79255,36.28227,Комаров Е.В.,"10-я вдбр, 5-й ВДК"
G030,53.06929,35.78117,Семёнов Н.Б.,283-я стрелковая дивизия
G031,53.09638,35.91224,Фёдоров И.С.,"10-я вдбр, 5-й ВДК"
G032,52.91446,36.53149,Иванов Д.П.,4-я танковая бригада
G033,52.86292,36.17862,Зайцев Н.И.,"201-я вдбр, 5-й ВДК"
G034,52.87675,36.10358,Козлов И.С.,"9-я вдбр, 5-й ВДК"
G035,53.23932,36.42671,Козлов И.Г.,6-я гв. стрелковая дивизия
G036,53.03681,35.88904,Виноградов Н.Д.,"9-я вдбр, 5-й ВДК"
G037,52.97927,36.43019,Зайцев Г.П.,4-я танковая бригада
G038,52.78397,36.69779,Козлов К.М.,283-я стрелковая дивизия
G039,53.19527,36.2643,Комаров Н.Ф.,6-я гв. стрелковая дивизия
G040,52.98133,36.43057,Михайлов А.М.,"9-я вдбр, 5-й ВДК"
